"Ball State", 48, "Northeastern", 14
"Buffalo", 42, "UTEP", 17
"Central Michigan", 31, "Eastern Illinois", 12
"Drake", 17, "Upper Iowa", 13
"Eastern Michigan", 52, "Indiana State", 0
"Sam Houston State", 58, "East Central Oklahoma", 14
"Southeast Missouri State", 35, "Southwest Baptist", 28, "(OT)"
"Western Carolina", 35, "Shorter", 0
"Connecticut", 35, "Hofstra", 3
"Georgia Tech", 41, "Jacksonville State", 14
"Vanderbilt", 34, "Miami (OH)", 13
"Cincinnati", 40, "Eastern Kentucky", 7
"Miami (FL)", 52, "Charleston Southern", 7
"Troy", 31, "Middle Tennessee State", 17
"Iowa State", 44, "South Dakota State", 17
"Murray State", 41, "Lambuth", 17
"North Dakota", 40, "Texas A&M-Kingsville", 14
"Central Arkansas", 38, "Henderson State", 14
"North Dakota State", 41, "Austin Peay", 6
"Samford", 21, "West Georgia", 19
"South Carolina", 34, "North Carolina State", 0
"Tennessee Tech", 28, "Gardner-Webb", 12
"Wake Forest", 41, "Baylor", 13
"Stanford", 36, "Oregon State", 28
"Weber State", 62, "Montana-Western", 6
"Temple", 35, "Army", 7
"Rice", 56, "Southern Methodist", 27
"San Diego", 40, "Marist", 22
"LSU", 41, "Appalachian State", 13
"Ohio State", 43, "Youngstown State", 0
"Wisconsin", 38, "Akron", 17
"East Carolina", 27, "Virginia Tech", 22
"Penn State", 66, "Coastal Carolina", 10
"Bowling Green", 27, "Pittsburgh", 17
"Northwestern", 30, "Syracuse", 10
"Indiana", 31, "Western Kentucky", 13
"Iowa", 46, "Maine", 3
"Georgia", 45, "Georgia Southern", 21
"Florida", 56, "Hawaii", 10
"Rhode Island", 27, "Monmouth", 24
"Birmingham Southern", 12, "Campbell", 6
"Rhodes", 27, "Monmouth", 24
"Air Force", 41, "Southern Utah", 7
"Wyoming", 21, "Ohio", 20
"Montana State", 59, "Adams State", 3
"USC", 52, "Virginia", 7
"West Virginia", 48, "Villanova", 21
"Utah", 25, "Michigan", 23
"Oklahoma State", 39, "Washington State", 13
"Navy", 41, "Towson", 13
"Maryland", 14, "Delaware", 7
"Tulsa", 45, "UAB", 22
"Portland State", 31, "Western Oregon", 14
"Marshall", 35, "Illinois State", 10
"Central Connecticut State", 42, "Bryant University", 35
"Brigham Young", 41, "Northern Iowa", 17
"Florida A&M", 30, "Alabama State", 20
"Massachusetts", 28, "Albany", 16
"North Carolina", 35, "McNeese State", 27
"TCU", 26, "New Mexico", 3
"Southeastern Louisiana", 34, "Alcorn State", 28
"Mississippi Valley State", 38, "Texas College", 0
"North Carolina A&T", 44, "Johnson Smith", 12
"Norfolk State", 47, "Virginia State", 7
"Sacred Heart", 42, "Assumption", 21
"Stony Brook", 42, "Colgate", 26
"UCF", 17, "South Carolina State", 0
"Louisiana Tech", 22, "Mississippi State", 14
"Oklahoma", 57, "Chattanooga", 2
"Auburn", 34, "Louisiana-Monroe", 0
"Texas", 52, "Florida Atlantic", 10
"Texas Tech", 49, "Eastern Washington", 24
"South Florida", 56, "Tennessee-Martin", 7
"Arkansas", 28, "Western Illinois", 24
"Minnesota", 31, "Northern Illinois", 27
"Mississippi", 41, "Memphis", 24
"Duke", 31, "James Madison", 7
"Nebraska", 47, "Western Michigan", 24
"Furman", 62, "Mars Hill", 14
"Houston", 55, "Southern University", 3
"Texas State", 21, "Angelo State", 14
"Tennessee State", 34, "Alabama A&M", 13
"Arkansas-Monticello", 21, "Arkansas-Pine Bluff", 7
"Richmond", 28, "Elon", 10
"Liberty", 49, "North Greenville", 10
"Morehead State", 49, "Southern Virginia", 6
"Northwestern State", 30, "Texas A&M-Commerce", 14
"Jacksonville", 20, "Savannah State", 7
"Southern Miss", 51, "Louisiana-Lafayette", 21
"Stephen F. Austin", 56, "Langston", 19
"Citadel", 54, "Webber International", 7
"Wofford", 38, "Presbyterian", 21
"Kansas", 40, "Florida International", 10
"Arkansas State", 18, "Texas A&M", 14
"Kansas State", 45, "North Texas", 6
"Boston College", 21, "Kent State", 0
"Alabama", 34, "Clemson", 10
"San Jose State", 13, "UC Davis", 10
"California", 38, "Michigan State", 31
"Boise State", 49, "Idaho State", 7
"South Dakota", 52, "St. Ambrose", 0
